"","artist","genres"
"273","JJ Lin","mandopop,singaporean mandopop,singaporean pop"
"274","Eric Chou","mandopop"
"275","SHAED","electropop"
"276","Lo & Leduc","dance pop,electropop,metropopolis,pop,post-teen pop,swedish electropop,swedish pop,swedish synthpop"
"277","5GANG","romanian trap"
"278","Spike",""
"279","Prny",""
"280","Super Yei","reggaeton flow"
"281","Rafa Pabön","reggaeton flow"
"282","Kenny Man",""
"283","Farruko","latin,latin hip hop,reggaeton,trap latino,tropical"
"284","Nacho","dance pop,latin,latin pop,pop,tropical"
"285","Wisin & Yandel","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"286","Daniela Darcourt",""
"287","Leslie Grace","bachata,latin,latin pop,latin viral pop,tropical"
"288","Greeicy","colombian pop,latin,latin pop"
"289","Young Igi","polish hip hop,polish trap"
"290","Bedoes","polish hip hop,polish trap"
"291","Dawid Podsiadlo","polish indie,polish pop,talent show"
"292","Meskie Granie Orkiestra 2018","polish pop"
"293","Kubi Producent","polish trap"
"294","Szpaku","polish hip hop"
"295","Don Diablo","big room,dance pop,deep big room,edm,electro house,house,pop,progressive electro house,progressive house,tropical house"
"296","TACONAFIDE","polish hip hop,polish pop,polish trap"
"297","Taco Hemingway","polish hip hop,polish trap"
"298","Dennis Lloyd","israeli pop"
"299","Kartky","polish hip hop"
"300","Otsochodzi","polish hip hop,polish trap"
"301","Paluch","polish hip hop,polish trap"
"302","Sarius","polish hip hop,polish trap"
"303","Julia Wieniawa","polish pop"
"304","Allj",""
"305","Gaullin",""
"306","White 2115","polish hip hop,polish trap"
"307","Wet Bed Gang","hip hop tuga"
"308","Dj Dadda",""
"309","ProfJam",""
"310","Slow J",""
"311","Deejay Telio","batida,funana,portuguese pop"
"312","Dennis DJ","baile funk"
"313","MC Kevinho","deep funk carioca"
"314","Sippinpurpp",""
"315","Holly Hood","hip hop tuga"
"316","MC Bruninho","brega funk,deep funk carioca"
"317","Bispo","hip hop tuga"
"318","Jimmy P","hip hop tuga,portuguese pop"
"319","MC Kekel","deep funk carioca"
"320","MC L da Vinte","deep funk carioca"
"321","Lartiste","francoton,french hip hop,rap maroc,trap francais"
"322","Anitta","baile pop"
"323","Boza","panamanian pop"
"324","Sech","panamanian pop"
"325","Eddy Lover","latin,latin hip hop,panamanian pop,tropical"
"326","Six60","kiwi rock,nz pop,nz reggae,polynesian pop"
"327","Kings","garage rock,indie rock,modern rock,rock"
"328","NOTD","dance pop,edm,electropop,pop,tropical house"
"329","Ruben","norwegian pop"
"330","Astrid S","dance pop,electropop,norwegian pop,pop,post-teen pop,tropical house,viral pop"
"331","Unge Ferrari","norwegian indie,norwegian pop,norwegian pop rap"
"332","CLMD","big room,norwegian pop"
"333","Seeb","dance pop,edm,norwegian pop,pop,tropical house"
"334","Øystein Hegvik",NA
"335","XO Cupid","tropical house"
"336","Alesso","big room,dance pop,edm,electro house,pop,progressive electro house,tropical house"
"337","Emma Steinbakken","norwegian pop"
"338","Kamelen","norwegian pop,norwegian pop rap"
"339","Ina Wroldsen","norwegian pop,tropical house"
"340","K-391","nordic house,tracestep"
"341","José Feliciano","latin pop"
"342","Mariah Carey","dance pop,pop,r&b,urban contemporary"
"343","Alex Rose","reggaeton flow,trap latino,tropical"
"344","Calum Scott","pop"
"345","Insomniacks","malaysian indie,malaysian pop"
"346","Joe Flizzow","malaysian hip hop,malaysian indie,malaysian pop,rock kapak"
"347","Luqman Faiz","malaysian pop"
"348","Bebe Rexha","dance pop,pop,post-teen pop"
"349","Brenda Lee","adult standards,brill building pop,christmas"
"350","Bobby Helms","adult standards,christmas"
"351","Wham!","new wave pop,soft rock"
"352","Michael Bublé","adult standards,canadian pop,lounge"
"353","Andy Williams","adult standards,christmas,easy listening,mellow gold"
"354","Band Aid","christmas"
"355","Paul McCartney","album rock,classic rock,folk rock,mellow gold,rock,soft rock"
"356","Frank Sinatra","adult standards,christmas,easy listening,lounge"
"357","John Lennon","album rock,classic rock,folk rock,mellow gold,rock,soft rock"
"358","Bing Crosby","adult standards,christmas,easy listening"
"359","Burl Ives","adult standards,american folk revival,christmas"
"360","Perry Como","adult standards,brill building pop,christmas,easy listening,vocal jazz"
"361","Dean Martin","adult standards,christmas,easy listening,lounge"
"362","Nat King Cole","adult standards,christmas"
"363","The Ronettes","adult standards,brill building pop,christmas,classic girl group,motown,soul"
"364","Justin Bieber","canadian pop,dance pop,pop,post-teen pop"
"365","Chris Rea","art rock,blues-rock,mellow gold,soft rock"
"366","Kelly Clarkson","dance pop,neo mellow,pop,pop rock,post-teen pop,r&b,talent show"
"367","Brett Eldredge","contemporary country,country,country road,modern country rock"
"368","Daryl Hall & John Oates","adult standards,album rock,folk rock,mellow gold,rock,soft rock"
"369","Shakin' Stevens","europop,rock-and-roll,rockabilly"
"370","Elvis Presley","adult standards,christmas,rock-and-roll,rockabilly"
"371","Tony Bennett","adult standards,christmas,easy listening,vocal jazz"
"372","Paloma Mami","latin pop"
