"","playlist_name","playlist_img","track_name","track_uri","artist_name","album_name","album_img","danceability.x","energy.x","key.x","loudness.x","mode.x","speechiness.x","acousticness.x","instrumentalness.x","liveness.x","valence.x","tempo.x","duration_ms.x","time_signature.x","key_mode.x","danceability.y","energy.y","key.y","loudness.y","mode.y","speechiness.y","acousticness.y","instrumentalness.y","liveness.y","valence.y","tempo.y","duration_ms.y","time_signature.y","key_mode.y","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode"
"31","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Allein","4tW7mc0pab35DznfVlr3px","Capital Bra","Allein","https://i.scdn.co/image/e78dc7362390f2efb201b3b5b2180aed4a1eb48e",0.799,0.583,"G",-7.199,"minor",0.115,0.75,5.93e-06,0.136,0.322,119.93,222900,4,"G minor",0.799,0.583,"G",-7.199,"minor",0.115,0.75,5.93e-06,0.136,0.322,119.93,222900,4,"G minor",0.799,0.583,"G",-7.199,"minor",0.115,0.75,5.93e-06,0.136,0.322,119.93,222900,4,"G minor"
"32","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Valentino Camouflage","0RMrNZG8THmtHXU90tfsQY","Luciano","L.O.C.O.","https://i.scdn.co/image/cbe12d82ea095e04b87278b2f6816473f6e7b893",0.811,0.729,"G",-5.421,"major",0.452,0.11,0.000131,0.125,0.632,195.983,166773,4,"G major",0.811,0.729,"G",-5.421,"major",0.452,0.11,0.000131,0.125,0.632,195.983,166773,4,"G major",0.811,0.729,"G",-5.421,"major",0.452,0.11,0.000131,0.125,0.632,195.983,166773,4,"G major"
"33","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Dior 2001","2eNSyVH3sNPiAj9WpRYK73","RIN","Planet Megatron","https://i.scdn.co/image/dabd40f16aa985fa6c1f7c44721177178b75a670",0.43,0.699,"C#",-5.892,"major",0.143,0.0117,0.093,0.123,0.473,76.854,192941,4,"C# major",0.43,0.699,"C#",-5.892,"major",0.143,0.0117,0.093,0.123,0.473,76.854,192941,4,"C# major",0.43,0.699,"C#",-5.892,"major",0.143,0.0117,0.093,0.123,0.473,76.854,192941,4,"C# major"
"34","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Skam Koh","1wtKmJbFITh1WRz70QWksh","Azet","Skam Koh","https://i.scdn.co/image/f045691eaf40e7df59c2aa3b7e74f5a27bcf2d40",0.787,0.742,"G",-2.714,"major",0.0444,0.075,0.000555,0.0394,0.436,95.034,186838,4,"G major",0.787,0.742,"G",-2.714,"major",0.0444,0.075,0.000555,0.0394,0.436,95.034,186838,4,"G major",0.787,0.742,"G",-2.714,"major",0.0444,0.075,0.000555,0.0394,0.436,95.034,186838,4,"G major"
"35","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Facetime","0oZyouBDStcJEUbTmSfys2","Dardan","Hypnotize","https://i.scdn.co/image/0a32fb14ffe608ac6a782d13788a94a79f941a8b",0.701,0.682,"E",-6.873,"minor",0.173,0.319,0,0.113,0.446,102.004,192947,4,"E minor",0.701,0.682,"E",-6.873,"minor",0.173,0.319,0,0.113,0.446,102.004,192947,4,"E minor",0.701,0.682,"E",-6.873,"minor",0.173,0.319,0,0.113,0.446,102.004,192947,4,"E minor"
"36","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Sag schon","1SDWa2NAPvVjLhIXDM9Zgi","Veysel","Fuego","https://i.scdn.co/image/fcfd0243ba1c5e59095be44bc88868e0feb7780e",0.765,0.592,"C",-4.515,"major",0.0477,0.152,0,0.109,0.0441,81.971,205013,4,"C major",0.765,0.592,"C",-4.515,"major",0.0477,0.152,0,0.109,0.0441,81.971,205013,4,"C major",0.765,0.592,"C",-4.515,"major",0.0477,0.152,0,0.109,0.0441,81.971,205013,4,"C major"
"37","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Eastside (with Halsey & Khalid)","7FGq80cy8juXBCD2nrqdWU","benny blanco","FRIENDS KEEP SECRETS","https://i.scdn.co/image/77eb7c17cafe5503f3420e21041cf842dca37865",0.728,0.679,"F#",-7.724,"minor",0.16,0.568,1.22e-06,0.217,0.356,89.974,170770,4,"F# minor",0.728,0.679,"F#",-7.724,"minor",0.16,0.568,1.22e-06,0.217,0.356,89.974,170770,4,"F# minor",0.728,0.679,"F#",-7.724,"minor",0.16,0.568,1.22e-06,0.217,0.356,89.974,170770,4,"F# minor"
"38","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Jingle Bell Rock","7vQbuQcyTflfCIOu3Uzzya","Bobby Helms","Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol)","https://i.scdn.co/image/255528e0babfb705009a6b133dd841052972d55f",0.754,0.424,"D",-8.463,"major",0.0363,0.643,0,0.0652,0.806,119.705,130973,4,"D major",0.754,0.424,"D",-8.463,"major",0.0363,0.643,0,0.0652,0.806,119.705,130973,4,"D major",0.754,0.424,"D",-8.463,"major",0.0363,0.643,0,0.0652,0.806,119.705,130973,4,"D major"
"39","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","UFF","3Rq0ElVcisouAl71RtnTUS","Veysel","Fuego","https://i.scdn.co/image/fcfd0243ba1c5e59095be44bc88868e0feb7780e",0.817,0.831,"E",-3.569,"major",0.256,0.0416,0,0.292,0.288,140.009,167773,4,"E major",0.817,0.831,"E",-3.569,"major",0.256,0.0416,0,0.292,0.288,140.009,167773,4,"E major",0.817,0.831,"E",-3.569,"major",0.256,0.0416,0,0.292,0.288,140.009,167773,4,"E major"
"40","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Nummer unterdrückt","2SRVj6ceeIffVEm9NFyRHI","Bonez MC","Palmen aus Plastik 2","https://i.scdn.co/image/04e326e806dc1c48c81f4a4907559d6c052f925f",0.812,0.749,"C",-6.296,"major",0.0881,0.2,0.00124,0.15,0.773,139.962,208795,4,"C major",0.812,0.749,"C",-6.296,"major",0.0881,0.2,0.00124,0.15,0.773,139.962,208795,4,"C major",0.812,0.749,"C",-6.296,"major",0.0881,0.2,0.00124,0.15,0.773,139.962,208795,4,"C major"
